#histogram type: discrete-time histogram
#Service Time For Customer
#lowerBound ; upperBound ; relative frequency
0,0;200,0;NaN
200,0;400,0;NaN
400,0;600,0;NaN
600,0;800,0;NaN
800,0;1000,0;NaN
1000,0;1200,0;NaN
1200,0;1400,0;NaN
1400,0;1600,0;NaN
1600,0;1800,0;NaN
1800,0;2000,0;NaN
2000,0;2200,0;NaN
2200,0;2400,0;NaN
2400,0;2600,0;NaN
2600,0;2800,0;NaN
2800,0;3000,0;NaN
3000,0;3200,0;NaN
3200,0;3400,0;NaN
3400,0;3600,0;NaN
3600,0;3800,0;NaN
3800,0;4000,0;NaN
4000,0;4200,0;NaN
4200,0;4400,0;NaN
4400,0;4600,0;NaN
4600,0;4800,0;NaN
4800,0;5000,0;NaN
5000,0;5200,0;NaN
5200,0;5400,0;NaN
5400,0;5600,0;NaN
5600,0;5800,0;NaN
5800,0;6000,0;NaN
6000,0;6200,0;NaN
6200,0;6400,0;NaN
6400,0;6600,0;NaN
6600,0;6800,0;NaN
6800,0;7000,0;NaN
7000,0;7200,0;NaN
7200,0;7400,0;NaN
7400,0;7600,0;NaN
7600,0;7800,0;NaN
7800,0;8000,0;NaN
8000,0;8200,0;NaN
8200,0;8400,0;NaN
8400,0;8600,0;NaN
8600,0;8800,0;NaN
8800,0;9000,0;NaN
9000,0;9200,0;NaN
9200,0;9400,0;NaN
9400,0;9600,0;NaN
9600,0;9800,0;NaN
9800,0;10000,0;NaN
