#histogram type: discrete-time histogram
#Service Time For Customer
#(lowerBound+upperBound)/2 ; probability
110,0;0,5
330,0;0,0
550,0;0,0
770,0;0,0
990,0;0,0
1210,0;0,0
1430,0;0,0
1650,0;0,0
1870,0;0,0
2090,0;0,0
2310,0;0,0
2530,0;0,0
2750,0;0,0
2970,0;0,0
3190,0;0,0
3410,0;0,0
3630,0;0,0
3850,0;0,0
4070,0;0,0
4290,0;0,0
4510,0;0,0
4730,0;0,0
4950,0;0,0
5170,0;0,0
5390,0;0,0
5610,0;0,0
5830,0;0,0
6050,0;0,0
6270,0;0,0
6490,0;0,0
6710,0;0,0
6930,0;0,0
7150,0;0,0
7370,0;0,0
7590,0;0,0
7810,0;0,0
8030,0;0,0
8250,0;0,0
8470,0;0,0
8690,0;0,0
8910,0;0,0
9130,0;0,0
9350,0;0,0
9570,0;0,0
9790,0;0,0
10010,0;0,5
10230,0;0,0
10450,0;0,0
10670,0;0,0
10890,0;0,0
