#histogram type: discrete-time histogram
#Service Time For Customer
#lowerBound ; upperBound ; probability density
0,0;220,0;0,0022727272727272726
220,0;440,0;0,0
440,0;660,0;0,0
660,0;880,0;0,0
880,0;1100,0;0,0
1100,0;1320,0;0,0
1320,0;1540,0;0,0
1540,0;1760,0;0,0
1760,0;1980,0;0,0
1980,0;2200,0;0,0
2200,0;2420,0;0,0
2420,0;2640,0;0,0
2640,0;2860,0;0,0
2860,0;3080,0;0,0
3080,0;3300,0;0,0
3300,0;3520,0;0,0
3520,0;3740,0;0,0
3740,0;3960,0;0,0
3960,0;4180,0;0,0
4180,0;4400,0;0,0
4400,0;4620,0;0,0
4620,0;4840,0;0,0
4840,0;5060,0;0,0
5060,0;5280,0;0,0
5280,0;5500,0;0,0
5500,0;5720,0;0,0
5720,0;5940,0;0,0
5940,0;6160,0;0,0
6160,0;6380,0;0,0
6380,0;6600,0;0,0
6600,0;6820,0;0,0
6820,0;7040,0;0,0
7040,0;7260,0;0,0
7260,0;7480,0;0,0
7480,0;7700,0;0,0
7700,0;7920,0;0,0
7920,0;8140,0;0,0
8140,0;8360,0;0,0
8360,0;8580,0;0,0
8580,0;8800,0;0,0
8800,0;9020,0;0,0
9020,0;9240,0;0,0
9240,0;9460,0;0,0
9460,0;9680,0;0,0
9680,0;9900,0;0,0
9900,0;10120,0;0,0022727272727272726
10120,0;10340,0;0,0
10340,0;10560,0;0,0
10560,0;10780,0;0,0
10780,0;11000,0;0,0
