#histogram type: continuous-time histogram
#Server Utilisation
#(lowerBound+upperBound)/2 ; probability
10,0;0,0
30,0;0,0
50,0;0,0
70,0;0,0
90,0;0,0
110,0;0,0
130,0;0,0
150,0;0,0
170,0;0,0
190,0;0,0
210,0;0,0
230,0;0,0
250,0;0,0
270,0;0,0
290,0;0,0
310,0;0,0
330,0;0,0
350,0;0,0
370,0;0,0
390,0;0,0
410,0;0,0
430,0;0,0
450,0;0,0
470,0;0,0
490,0;0,0
510,0;0,0
530,0;0,0
550,0;0,0
570,0;0,0
590,0;0,0
610,0;0,0
630,0;0,0
650,0;0,0
670,0;0,0
690,0;0,0
710,0;0,0
730,0;0,0
750,0;0,0
770,0;0,0
790,0;0,0
810,0;0,0
830,0;0,0
850,0;0,0
870,0;0,0
890,0;0,0
910,0;0,0
930,0;0,0
950,0;0,0
970,0;0,0
990,0;0,0
